row_id,data_type,system,subsystem,item_id,name,rarity,level,star,awakening,cost,currency,quantity,limit,unlock_condition,effect_type,effect_value,effect_unit,damage_bucket,debuff_type,applies_to,consumed_by,source_kind,confidence,extraction_method,damage_relevance,long_term_value,recommended_disposition,ignore_for_dps,needs_review,notes,source_file,page_or_image,section,original_source_file,metadata
src_3ce5119b909aaf45,shop_item,clan_shop,clan_shop,clan_shop_icon_01,NamePending Clan Shop Icon 01,,,,,40000,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 1, ""12"": 1, ""13"": 1, ""14"": 1, ""15"": 2, ""16"": 2}}"
src_1d176fd55a4bd633,shop_item,clan_shop,clan_shop,clan_shop_icon_02,NamePending Clan Shop Icon 02,,,,,36000,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 1, ""12"": 2, ""13"": 2, ""14"": 2, ""15"": 2, ""16"": 2}}"
src_02f5cca9ddc05c76,shop_item,clan_shop,clan_shop,clan_shop_icon_03,NamePending Clan Shop Icon 03,,,,,10000,clan_coin,10,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 1, ""12"": 2, ""13"": 2, ""14"": 2, ""15"": 2, ""16"": 2}}"
src_78b2a478e7d98047,shop_item,clan_shop,clan_shop,clan_shop_icon_04,NamePending Clan Shop Icon 04,,,,,4000,clan_coin,5,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 20, ""12"": 20, ""13"": 20, ""14"": 20, ""15"": 20, ""16"": 20}}"
src_63dda41cd4bf3354,shop_item,clan_shop,clan_shop,clan_shop_icon_05,NamePending Clan Shop Icon 05,,,,,2000,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 10, ""12"": 10, ""13"": 10, ""14"": 20, ""15"": 20, ""16"": 20}}"
src_ef42bb21749511cc,shop_item,clan_shop,clan_shop,clan_shop_icon_06,NamePending Clan Shop Icon 06,,,,,18000,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 1, ""12"": 1, ""13"": 1, ""14"": 2, ""15"": 2, ""16"": 2}}"
src_0313ec1772862804,shop_item,clan_shop,clan_shop,clan_shop_icon_07,NamePending Clan Shop Icon 07,,,,,2200,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 3, ""12"": 3, ""13"": 3, ""14"": 6, ""15"": 6, ""16"": 6}}"
src_a96be3d5af1f0fda,shop_item,clan_shop,clan_shop,clan_shop_icon_08,NamePending Clan Shop Icon 08,,,,,13500,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 2, ""12"": 2, ""13"": 2, ""14"": 2, ""15"": 4, ""16"": 4}}"
src_39cb44a188ea5b0e,shop_item,clan_shop,clan_shop,clan_shop_icon_09,NamePending Clan Shop Icon 09,,,,,2500,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 2, ""12"": 2, ""13"": 2, ""14"": 2, ""15"": 4, ""16"": 4}}"
src_25ffac366a071491,shop_item,clan_shop,clan_shop,clan_shop_icon_10,NamePending Clan Shop Icon 10,,,,,18000,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 2, ""12"": 2, ""13"": 4, ""14"": 4, ""15"": 4, ""16"": 4}}"
src_fd58bcea851e7b3f,shop_item,clan_shop,clan_shop,clan_shop_icon_11,NamePending Clan Shop Icon 11,,,,,2200,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 2, ""12"": 2, ""13"": 4, ""14"": 4, ""15"": 4, ""16"": 4}}"
src_5c444d63ff3c054a,shop_item,clan_shop,clan_shop,clan_shop_icon_12,NamePending Clan Shop Icon 12,,,,,3600,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 1, ""12"": 4, ""13"": 4, ""14"": 4, ""15"": 4, ""16"": 4}}"
src_c0278b86d68e62c8,shop_item,clan_shop,clan_shop,clan_shop_icon_13,NamePending Clan Shop Icon 13,,,,,600,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 5, ""12"": 10, ""13"": 15, ""14"": 20, ""15"": 25, ""16"": 25}}"
src_60fa7f51e8b6ebb2,shop_item,clan_shop,clan_shop,clan_shop_icon_14,NamePending Clan Shop Icon 14,,,,,600,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 5, ""12"": 10, ""13"": 15, ""14"": 20, ""15"": 25, ""16"": 25}}"
src_a7fec741582a7c01,shop_item,clan_shop,clan_shop,clan_shop_icon_15,NamePending Clan Shop Icon 15,,,,,600,clan_coin,1,,chapter 3 won; stock depends on clan level,,,,,,,,exact,exact,visual_table_verified,unknown,,needs_review,True,True,"Cost, quantity, and stock are exact; icon-only item identity is pending.",Clan_Shop_2025-02-17_result.png,1,Clan Shop Table,Clan_Shop_2025-02-17_result.png,"{""stock_by_clan_level"": {""1-11"": 5, ""12"": 10, ""13"": 15, ""14"": 20, ""15"": 25, ""16"": 25}}"
